
 jobname = Hartree_V // full set of hyperons                 
 M= 1.5000 M_sol,   R= 13.9558 km

  radial distance  |     m(r)       |  energy density  | number density
      (meter)          (M_sol)            (MeV/fm^3)       (1/fm^3)
 ---------------------------------------------------------------------
   0.5882584E+00     0.0000000E+00     0.4154250E+03     0.4086473E+00
   0.1176517E+02     0.2172601E-08     0.4155899E+03     0.4088915E+00
   0.2353034E+02     0.1882675E-07     0.4155887E+03     0.4088905E+00
   0.3529550E+02     0.6520667E-07     0.4155868E+03     0.4088888E+00
   0.4706067E+02     0.1565559E-06     0.4155839E+03     0.4088863E+00
   0.5882584E+02     0.3081175E-06     0.4155801E+03     0.4088829E+00
   0.7059101E+02     0.5351337E-06     0.4155755E+03     0.4088789E+00
   0.8235618E+02     0.8528458E-06     0.4155700E+03     0.4088740E+00
   0.9412135E+02     0.1276494E-05     0.4155636E+03     0.4088684E+00
   0.1058865E+03     0.1821317E-05     0.4155564E+03     0.4088620E+00
   0.1176517E+03     0.2502553E-05     0.4155483E+03     0.4088549E+00
   0.1294169E+03     0.3335437E-05     0.4155393E+03     0.4088469E+00
   0.1411820E+03     0.4335202E-05     0.4155294E+03     0.4088382E+00
   0.1529472E+03     0.5517082E-05     0.4155187E+03     0.4088288E+00
   0.1647124E+03     0.6896303E-05     0.4155071E+03     0.4088185E+00
   0.1764775E+03     0.8488095E-05     0.4154946E+03     0.4088075E+00
   0.1882427E+03     0.1030768E-04     0.4154812E+03     0.4087957E+00
   0.2000079E+03     0.1237028E-04     0.4154669E+03     0.4087832E+00
   0.2117730E+03     0.1469112E-04     0.4154519E+03     0.4087698E+00
   0.2235382E+03     0.1728541E-04     0.4154359E+03     0.4087557E+00
   0.2353034E+03     0.2016835E-04     0.4154190E+03     0.4087409E+00
   0.2470685E+03     0.2335517E-04     0.4154013E+03     0.4087252E+00
   0.2588337E+03     0.2686106E-04     0.4153827E+03     0.4087088E+00
   0.2705989E+03     0.3070121E-04     0.4153632E+03     0.4086916E+00
   0.2823640E+03     0.3489084E-04     0.4153428E+03     0.4086736E+00
   0.2941292E+03     0.3944515E-04     0.4153216E+03     0.4086549E+00
   0.3058944E+03     0.4437929E-04     0.4152994E+03     0.4086354E+00
   0.3176595E+03     0.4970845E-04     0.4152765E+03     0.4086151E+00
   0.3294247E+03     0.5544782E-04     0.4152526E+03     0.4085940E+00
   0.3411899E+03     0.6161258E-04     0.4152278E+03     0.4085722E+00
   0.3529551E+03     0.6821789E-04     0.4152022E+03     0.4085496E+00
   0.3647202E+03     0.7527888E-04     0.4151757E+03     0.4085262E+00
   0.3764854E+03     0.8281077E-04     0.4151483E+03     0.4085020E+00
   0.3882505E+03     0.9082867E-04     0.4151201E+03     0.4084771E+00
   0.4000157E+03     0.9934772E-04     0.4150910E+03     0.4084513E+00
   0.4117809E+03     0.1083831E-03     0.4150610E+03     0.4084249E+00
   0.4235460E+03     0.1179498E-03     0.4150301E+03     0.4083976E+00
   0.4353112E+03     0.1280631E-03     0.4149983E+03     0.4083695E+00
   0.4470764E+03     0.1387381E-03     0.4149657E+03     0.4083407E+00
   0.4588416E+03     0.1499899E-03     0.4149322E+03     0.4083110E+00
   0.4706067E+03     0.1618334E-03     0.4148978E+03     0.4082806E+00
   0.4823719E+03     0.1742841E-03     0.4148625E+03     0.4082495E+00
   0.4941371E+03     0.1873567E-03     0.4148264E+03     0.4082175E+00
   0.5059022E+03     0.2010665E-03     0.4147893E+03     0.4081848E+00
   0.5176674E+03     0.2154285E-03     0.4147515E+03     0.4081513E+00
   0.5294326E+03     0.2304578E-03     0.4147127E+03     0.4081170E+00
   0.5411977E+03     0.2461693E-03     0.4146730E+03     0.4080819E+00
   0.5529629E+03     0.2625783E-03     0.4146325E+03     0.4080460E+00
